"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"AI467606",4.87590012755414,4.97225460197241,5.13288242221747,4.6321759770317,3.98662076617388,4.96457308970032,5.0907732396164,4.71633854026157,5.30442740305909,4.64734024697414,4.77274696721885,5.03738100871181,4.26943963915778,4.38449052266113,4.14176266628461,5.2067590491517,4.09885006387796,3.81680998205409,4.22203549083341,3.50639224812059,4.63540677943826,5.07333458153782,5.16806351234791,4.96255596182669,4.42781066160466,4.49825874386152
"Ces2a",10.2581231972668,10.4178429149598,10.5538100746761,11.0553299990695,10.8596631913615,10.714067061559,10.5615647773004,10.4339445888666,11.3467246132443,11.1348926889157,11.6498517422391,12.0281965468943,11.8659594466825,12.0076407373654,10.7288377424656,10.5606637717243,10.9974382336447,11.9191027279683,11.8565761127829,11.4955380730053,9.97822600499255,10.3103708902399,10.3552044112718,10.9794206871099,10.8509872234144,10.9621122247288
"Gstt3",8.7394552517441,8.84531394685678,8.79295326558789,8.55537170891699,8.64043921276146,7.47245879645774,8.10135420975208,8.15577123451201,7.89489039744196,8.09679563913954,7.92315191287617,8.89500458814549,9.10781208533165,8.49703386650637,8.25013398429397,8.21764316603681,7.58032144176588,10.507705519199,10.4806289781678,10.5398300785165,8.64939552326403,8.55132331613273,7.99698347383063,9.15694993180234,9.23123749563802,9.13399319060279
"Rdh9",8.92559975183611,8.87980672634584,8.5353799239217,8.72214528202833,8.75105342825928,9.35473305472578,9.44394660267244,9.13495334973389,10.0917526838149,10.185673225045,10.1140124247067,9.39503017265222,9.06234725587509,9.12041968443957,9.1112058728554,9.23047852137104,8.81870692232915,11.3173222890803,11.8479981020474,11.891295344804,9.22478233045493,9.02765328054935,8.58538107011216,9.40511071856874,9.71159591929215,9.60248310313932
"Tmem263",8.67111605109258,8.7093684076908,8.54480057042246,8.64368012184686,8.47463767009593,8.43701628669153,8.65090590984756,8.80217506109539,8.74273322861851,8.52445086361317,8.83105874283315,8.37297406521979,8.21607252547362,8.16116924305847,8.62268124668652,8.80672274740717,8.30827588088805,7.40198676271541,7.68056202698176,7.50295449276065,8.99659527899985,8.71937527201108,8.8676062710792,8.3153360460957,8.18502133078589,8.49294557244616
"4932439E07Rik",5.53438576794645,5.37524701973146,5.92816125058878,6.18312298711905,5.85926619068801,6.58444376010091,4.60097900307906,4.20832570011531,5.67451729774196,6.08476718016999,6.09055974492056,5.32858678168413,5.66326293955869,5.57658824937485,4.23966155188686,5.36469660181193,6.36442927675216,6.28505539381923,5.62215195246421,6.8599093900658,6.67245909881388,6.65837786626452,6.96609353793937,5.76764073423902,4.85681024007904,4.79081850002413
"Tmem98",6.64255422748606,6.6616642062357,6.79769037914258,7.26830132955476,7.49571578463167,6.25568929761725,6.75485150833794,6.76696368751493,7.59224019514829,7.64372104201451,7.63659592253158,6.81140674510954,6.88447444777376,6.92265589601582,6.60289412053348,6.58947688549083,6.24541369691593,7.20480868049278,7.56059781500323,7.35340387086981,6.69493975303518,6.47166020030662,6.89243636869041,7.49108939253352,7.38324404409769,7.54962641685325
"Maml1",6.32541890827267,6.37998471852893,6.26238189571755,5.78964844789598,5.50842135857113,6.06600396800065,5.60266847067077,5.81282139809274,5.30657244165038,4.84089006104133,5.49490731709744,5.8677804917884,5.05632858801732,5.71231272562145,5.89721068705581,5.61947750964661,5.71915662180922,4.3378617065336,4.63423566777271,4.90097841633246,5.78151584159111,6.06063662291252,6.15491539924476,5.93043830479243,5.62389629566157,6.08800427970888
"Gck",8.89223887821797,9.10206341890709,9.41846193240944,9.05211000143597,9.08828105085735,8.96198617751117,9.88062362648594,9.5996588965397,9.00518836651441,8.7164925230617,8.76636944913776,7.81527810692026,8.20127259754054,7.83842727659405,9.09575668287531,9.51955396491523,8.9385139530377,6.36179239957048,6.63945138904066,5.85393305706672,9.01560021707026,8.56024815134096,8.62048731200248,8.79590457603174,9.03278077898999,9.19800892285087
"Acly",9.75847289547051,9.85560063045006,10.0846774764557,6.7586979936877,7.11330022747591,8.01549172592891,8.3285167931925,9.46302715578292,6.77372102758592,7.41515638731843,7.02385592184575,7.54657378723667,7.75007749257129,7.47802394119089,7.44029493872857,8.68422117987373,7.95411902350136,5.96360589392103,7.49918421075546,6.75166696176619,9.74140629438633,11.2966561061253,9.51876888215982,7.98246320906259,7.42017924919848,7.47727014123615
"Sbk1",8.31765495730201,8.64671539771562,8.48261608082256,7.04214355897617,6.79835818062354,7.14542982661885,8.51840532876495,7.18496295071136,6.40417968306331,7.14823261775202,7.33494745565927,7.59277697942141,7.65307816355619,7.01461050019563,7.83482974136293,8.35956090387755,7.19213049479454,8.53226556463872,8.61516441422485,8.92057010571108,8.24489384151236,8.62529781927975,6.52095300192448,7.06553024361884,7.94462378201843,7.84510569341954
"Slc16a6",6.02499532846171,6.06144255628803,6.40656472540289,5.67186096057784,5.50698526107008,5.61636321145985,6.91099877080784,6.49638989244585,5.63879000638952,6.11099822069483,5.61233754843248,5.81240364955236,5.72344075281746,6.06555186049083,6.26530527446256,7.27123949656223,7.37655019495408,4.2229229659819,4.573437675391,4.74282856741475,6.28722749020603,6.40515228284417,6.09011459181395,5.71427173099982,5.29052906651248,5.55197761941166
"Slc25a47",12.3517163653198,12.4401960535338,12.4040607259535,12.355962984234,12.8924968219507,11.9291288886476,12.275662340075,11.9242928562502,12.3245906866019,12.0624729693559,12.5081066511349,11.7779038134501,11.6153582137842,11.7056917452645,12.0568228685656,11.7316858984631,11.9887009970249,13.0507898225274,13.1657561070374,13.417888589564,12.1030409446406,12.1002238630529,11.630772856251,12.2815451512369,12.3999527519697,12.4017777084284
"Arrdc3",9.24188764485324,9.57425696854675,8.95256463299855,10.6109401471025,10.3141731802954,11.0137458897907,10.2622366950823,9.67469456892232,9.93403977042123,8.40421987677994,9.86076866724123,8.83356070443937,8.40575041789647,8.97946884655381,9.78334729051199,10.0320243584211,10.2289513960362,5.73810855266102,8.0774874039499,8.1492828176924,9.59222616101987,9.40777579747419,8.96793712346682,9.15843333452757,8.51534258423096,10.0021729396854
"Mbnl2",7.28237913122089,7.72424939347262,7.91327780496228,7.75794051211831,7.63393064691059,7.49855399397796,7.05107966690752,7.78906815556778,7.85439426420259,8.07393063210208,7.97024702618374,7.58561078727234,8.19807273576885,8.21829392952237,7.97959756666463,7.87121281030477,7.95148582185133,8.55126771290028,8.48600313370288,8.61491658456716,8.06279445785612,8.21655595032012,7.70643567145045,7.42041278747715,7.61054912774978,7.51482736132954
"Mal2",7.96174389515946,8.19107016502759,8.16361153717245,7.77046747246772,7.75790074683184,7.76259679059615,8.27613517551342,8.19473736334314,7.73179406840485,7.54501210483393,7.64555915465716,7.62574922338004,7.95570628635765,8.09356000125439,7.94756777373104,8.13042249815307,8.46462160655736,5.88179759312423,6.22528600720235,5.87578634105192,8.00178805001375,8.31340644930906,8.41022158198763,7.70800559189877,7.58090375334638,7.73921422244167
