"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"1451077_at",6.99102530005464,7.24205065453985,6.70969118169324,7.36198983097496,6.6167167449667,7.19718218395127,7.30771184260688,7.19323909111308,7.52744605262481,7.07952412713548,7.5162227941953,7.42038461518603,7.18436473955939,7.22797501405157,6.66636070830646,7.03425983857833,6.52561575977741,7.76168575296879,8.33085336816238,8.12377617260925,6.97755904006389,7.32584648394648,7.20730595658855,6.82776252741358,6.7358052323618,6.95995606107699
"1436497_at",5.28318449648524,3.50267600764412,3.8659797841704,6.68463898038784,5.60755660591687,6.39597443768622,4.0453095983422,5.92953562623356,5.97889575251502,5.30742083274417,3.58658899955311,6.53611094655699,4.86803851135292,4.41392279351683,7.69629518228774,5.02336149650104,4.16459123849049,6.11458719228927,6.37384766277145,6.35123536085746,6.74296857818638,3.79047564652957,5.73959427955204,5.26839097968902,6.31308099910661,5.38658178424956
"1458057_at",5.67659714392692,5.7380282623977,5.90712693600659,5.31379047202685,5.07157376424266,6.00635090740413,6.53157768996113,6.11899787858146,5.59587833288957,5.53254180685055,5.87251645293712,5.49716585464569,5.74424923442234,6.25622404722478,6.02360601388135,6.46561582531912,6.78634131884556,4.97628872197183,4.05023662938015,4.38791428418632,5.63306301525335,5.9130633903888,6.49999491212665,5.83331965914173,4.96760166435359,4.90264093064835
"1459141_at",10.6261333634366,10.6539438797277,10.7666320954339,8.71390016083324,8.7175872778112,10.4971893885733,9.91562624420301,10.5447510779476,7.85211135574775,7.73373266711437,8.29363457241315,9.22311034637191,9.23951762996191,9.53445635508247,9.47244848861386,9.79527288835866,9.82955143395699,7.1927582308518,8.82033842129341,9.01694420711636,10.8433248165653,11.3056868336829,10.7730255419703,9.21286422340168,8.95941178363144,9.65639050908593
"1436685_at",3.02958065981147,3.71969086299884,3.28621532896216,3.57009204615939,4.20934650047453,3.42656390480745,3.46055017707188,3.75691531434368,3.08275530708568,3.48292498541654,2.87124229982796,3.61475553808384,3.47960716467063,3.99216042864565,3.4554860492122,3.45919245670425,3.7357368476017,3.22275701823883,3.10675397720644,2.88811584388332,3.52697831655579,3.38992212996666,3.59215943285952,3.4214011615539,4.01361264146519,3.71710643359244
"1433935_at",5.61120282842584,5.49424134827231,6.01848352665423,5.40247950025079,5.36944468121961,5.89604252527996,5.71736843253255,5.90014621658765,6.695163350157,6.17031235954513,6.18566837647856,6.08057779537352,5.43382604201592,5.70003683887206,5.72521887404968,5.73277186378276,5.72955980277865,5.59837259046071,5.46815396919347,5.06250793669958,5.63675016432841,5.49067029458655,6.00133058129644,6.0332278786578,5.90392316074563,5.78403219486683
"1452418_at",7.44038620869176,7.48608424855246,7.95542369721465,7.95547133752376,7.65224054076672,6.87399912415176,7.29046262285446,7.62004977745319,7.87163986956068,8.0605635383687,8.02788411576181,6.85176522649295,7.46707971630233,7.09010481085438,7.19386008940072,7.69607487387288,7.27819928508809,8.42811916252163,7.82329224378546,7.85875493412581,7.23866291123774,8.15238203167729,7.49817805161251,7.63295297628357,7.92019986202902,7.24633350814609
"1420342_at",5.5679985856094,5.73917912512129,5.57320466549412,6.08856518358869,5.31958172940391,6.29357523879319,5.10846191943002,5.72920707762812,7.17075726953465,7.08963357880643,6.29624329860643,6.62066237936993,5.43208608038497,5.6624402471447,6.368269432495,5.93535730053308,5.82952378670815,8.18515730298071,7.53769298811965,7.7906310450314,6.13503279824326,5.67123124704149,5.88460753639393,6.36700503761121,7.10768002040321,6.59691644874784
"1430622_at",6.51929812835288,4.94807368507674,5.87484733397807,5.51499445849097,5.33265875267279,5.73181913126089,5.30831294450511,5.2095797338667,5.51378653391207,6.09588141105999,5.76309086874543,5.65976449385743,5.08621939993644,5.16674200540595,5.56238889007903,5.8860252719489,5.78468014568055,4.41592551922667,4.24243540820892,4.63139857232097,5.60771282568372,5.99817566493523,5.83699109625858,4.97583970022367,4.86709562512306,5.28296049373203
"1457601_at",7.92630023384916,7.78399780569901,7.30900301419109,8.21412014551647,7.50718143548774,8.3802946693728,8.27437905895068,8.00581822266513,8.32512664787213,8.11547939143159,8.42046330424496,8.18007770331808,7.68928608906793,7.53750443849666,7.96388629809373,7.7640871102562,7.28938687598087,7.93433011885083,8.15360634582673,8.24521796398387,8.04886936607735,7.82069894227883,7.82869770598003,7.05313562897738,7.41690622149805,7.95977665226652
